ZONE_COMMAND_ID,PORT_ID,DIR
ZC01,100101,"(1,0)"
ZC01,100201,"(1,0)"
ZC01,100301,"(1,0)"
ZC01,100401,"(1,0)"
ZC01,B7_OHBLOOP_T01,"(1,0)"
ZC01,B7_OHBLOOP_T02,"(1,0)"
ZC01,100501,"(1,0)"
ZC01,100601,"(1,0)"
ZC01,100701,"(1,0)"
ZC01,100801,"(1,0)"
ZC01,100901,"(1,0)"
ZC01,101001,"(1,0)"
ZC01,101101,"(1,0)"
ZC01,101201,"(1,0)"
ZC01,101301,"(1,0)"
ZC01,101401,"(1,0)"
ZC01,101501,"(1,0)"
ZC01,101601,"(1,0)"
ZC01,101701,"(1,0)"
ZC01,101801,"(1,0)"
ZC02,B7_OHBLOOP_T03,"(1,0)"
ZC02,B7_OHBLOOP_T04,"(1,0)"
ZC02,B7_OHBLOOP_A04,"(1,0)"
ZC02,B7_OHBLOOP_A03,"(1,0)"
ZC02,B7_OHBLOOP_A02,"(1,0)"
ZC02,B7_OHBLOOP_A01,"(1,0)"
ZC03,101901,"(1,0)"
ZC03,102001,"(1,0)"
ZC03,102101,"(1,0)"
ZC03,102201,"(1,0)"
ZC03,B7_OHBLOOP_T05,"(1,0)"
ZC03,B7_OHBLOOP_T06,"(1,0)"
ZC03,B7_OHBLOOP_T07,"(1,0)"
ZC03,B7_OHBLOOP_T08,"(1,0)"
ZC04,B7_OHBLOOP_T09,"(-1,0)"
ZC04,B7_OHBLOOP_T0A,"(-1,0)"
ZC05,102301,"(-1,0)"
ZC05,102401,"(-1,0)"
ZC05,102501,"(-1,0)"
ZC05,102601,"(-1,0)"
ZC05,102701,"(-1,0)"
ZC05,102801,"(-1,0)"
ZC05,102901,"(-1,0)"
ZC05,103001,"(-1,0)"
ZC05,B7_OHBLOOP_T0B,"(-1,0)"
ZC05,B7_OHBLOOP_T0C,"(-1,0)"
ZC06,103501,"(-1,0)"
ZC06,103601,"(-1,0)"
ZC06,103701,"(-1,0)"
ZC06,103801,"(-1,0)"
ZC06,103901,"(-1,0)"
ZC06,104001,"(-1,0)"
ZC06,104101,"(-1,0)"
ZC06,104201,"(-1,0)"
ZC06,104301,"(-1,0)"
ZC06,104401,"(-1,0)"
ZC06,104501,"(-1,0)"
ZC06,104601,"(-1,0)"
ZC06,104701,"(-1,0)"
ZC06,104801,"(-1,0)"
ZC06,104901,"(-1,0)"
ZC06,105001,"(-1,0)"
ZC06,105101,"(-1,0)"
ZC06,105201,"(-1,0)"
ZC06,105301,"(-1,0)"
ZC06,105401,"(-1,0)"
ZC06,105501,"(-1,0)"
ZC06,105601,"(-1,0)"
ZC06,105701,"(-1,0)"
ZC06,105801,"(-1,0)"
ZC06,105901,"(-1,0)"
ZC06,106001,"(-1,0)"
ZC06,106101,"(-1,0)"
ZC07,106201,"(-1,0)"
ZC07,106301,"(-1,0)"
ZC07,106401,"(-1,0)"
ZC07,106501,"(-1,0)"
ZC07,106601,"(-1,0)"
ZC07,106701,"(-1,0)"
ZC07,106801,"(-1,0)"
ZC07,106901,"(-1,0)"
ZC07,107001,"(-1,0)"
ZC07,107101,"(-1,0)"
ZC07,107201,"(-1,0)"
ZC07,107301,"(-1,0)"
ZC07,107401,"(-1,0)"
ZC07,107501,"(-1,0)"
ZC07,107601,"(-1,0)"
ZC07,107701,"(-1,0)"
ZC07,107801,"(-1,0)"
ZC07,107901,"(-1,0)"
ZC07,108001,"(-1,0)"
ZC07,108101,"(-1,0)"
ZC08,108201,"(-1,0)"
ZC08,108301,"(-1,0)"
ZC08,108401,"(-1,0)"
ZC08,108501,"(-1,0)"
ZC08,108601,"(-1,0)"
ZC08,108702,"(-1,0)"
ZC08,108803,"(-1,0)"
ZC08,108901,"(-1,0)"
ZC08,109001,"(-1,0)"
ZC08,109101,"(-1,0)"
ZC08,109201,"(-1,0)"
ZC08,109301,"(-1,0)"
ZC08,109401,"(-1,0)"
ZC08,109501,"(-1,0)"
ZC08,109601,"(-1,0)"
ZC08,109701,"(-1,0)"
ZC08,109801,"(-1,0)"
ZC08,109901,"(-1,0)"
ZC08,110001,"(-1,0)"
ZC08,110101,"(-1,0)"
ZC08,110201,"(-1,0)"
ZC08,110301,"(-1,0)"
ZC08,110401,"(-1,0)"
ZC08,110501,"(-1,0)"